iter	Passed	Remaining
402	13978	20706
403	14014	20674
404	14036	20621
405	14061	20573
406	14086	20524
407	14112	20476
408	14135	20425
409	14223	20468
410	14264	20442
411	14287	20390
412	14314	20344
413	14336	20293
414	14362	20246
415	14406	20224
416	14432	20177
417	14456	20128
418	14479	20077
419	14504	20030
420	14531	19985
421	14679	20106
422	14704	20058
423	14733	20015
424	14757	19965
425	14778	19912
426	14801	19862
427	14841	19834
428	14900	19832
429	14937	19800
430	14961	19752
431	14982	19699
432	15009	19655
433	15038	19612
434	15061	19562
435	15088	19518
436	15111	19469
437	15137	19423
438	15163	19377
439	15188	19330
440	15311	19408
441	15344	19371
442	15371	19327
443	15394	19278
444	15420	19231
445	15443	19183
446	15475	19145
447	15506	19106
448	15532	19061
449	15559	19016
450	15579	18964
451	15605	18920
452	15635	18879
453	15711	18895
454	15748	18863
455	15769	18813
456	15791	18763
457	15817	18718
458	15840	18670
459	15870	18630
460	15918	18611
461	15952	18576
462	15972	18525
463	15999	18482
464	16024	18437
465	16049	18391
466	16069	18341
467	16095	18296
468	16117	18247
469	16147	18208
470	16166	18157
471	16187	18108
472	16210	18061
473	16235	18016
474	16259	17971
475	16349	17997
476	16376	17955
477	16399	17909
478	16423	17863
479	16444	17815
480	16466	17767
481	16526	17760
482	16562	17728
483	16585	17682
484	16610	17637
485	16634	17592
486	16721	17614
487	16759	17583
488	16781	17536
489	16804	17490
490	16829	17446
491	16852	17400
492	16878	17357
493	16898	17309
494	16921	17263
495	16969	17242
496	17025	17230
497	17062	17199
498	17089	17157
499	17111	17111
500	17153	17084
501	17265	17127
502	17297	17091
503	17321	17046
504	17342	16998
505	17363	16951
506	17389	16909
507	17412	16863
508	17434	16817
509	17515	16829
510	17545	16790
511	17571	16747
512	17594	16703
513	17622	16662
514	17646	16618
515	17671	16575
516	17692	16529
517	17717	16486
518	17791	16489
519	17833	16461
520	17856	16417
521	17881	16373
522	17912	16337
523	18019	16368
524	18061	16341
525	18085	16297
526	18108	16252
527	18132	16209
528	18152	16162
529	18177	16119
530	18200	16075
531	18229	16036
532	18254	15993
533	18334	16000
534	18371	15967
535	18395	15924
536	18417	15879
537	18434	15830
538	18456	15785
539	18481	15743
540	18506	15701
541	18529	15658
542	18553	15615
543	18578	15572
544	18687	15601
545	18741	15583
546	18764	15539
547	18787	15496
548	18811	15453
549	18832	15408
550	18855	15364
551	18877	15321
552	18903	15280
553	18930	15239
554	18955	15198
555	18978	15155
556	19002	15113
557	19025	15070
558	19049	15028
559	19070	14983
560	19146	14982
561	19182	14949
562	19211	14911
563	19234	14869
564	19254	14824
565	19275	14780
566	19314	14749
567	19349	14716
568	19388	14686
569	19416	14647
570	19440	14605
571	19465	14565
572	19488	14523
573	19515	14483
574	19537	14440
575	19635	14454
576	19663	14415
577	19686	14373
578	19713	14333
579	19736	14291
580	19758	14249
581	19784	14209
582	19808	14168
583	19831	14126
584	19914	14127
585	19948	14093
586	19967	14048
587	19993	14009
588	20033	13979
589	20137	13993
590	20167	13957
591	20188	13913
592	20212	13872
593	20234	13830
594	20257	13788
595	20322	13775
596	20353	13739
597	20376	13698
598	20398	13655
599	20421	13614
600	20510	13616
601	20546	13583
602	20567	13540
603	20592	13501
604	20617	13460
605	20660	13432
606	20692	13397
607	20728	13364
608	20749	13321
609	20772	13280
610	20791	13237
611	20815	13197
612	20910	13201
613	20939	13163
614	20962	13122
615	20985	13081
616	21009	13041
617	21034	13002
618	21057	12960
619	21081	12920
620	21101	12878
621	21124	12837
622	21147	12796
623	21175	12759
624	21204	12722
625	21229	12683
626	21249	12641
627	21285	12608
628	21396	12620
629	21436	12589
630	21458	12548
631	21477	12505
632	21501	12466
633	21522	12424
634	21547	12385
635	21571	12345
636	21595	12306
637	21616	12265
638	21639	12225
639	21668	12188
640	21690	12147
641	21714	12108
642	21733	12066
643	21812	12058
644	21847	12024
645	21872	11985
646	21895	11946
647	21920	11907
648	21938	11865
649	21973	11832
650	22008	11798
651	22037	11762
652	22064	11725
653	22086	11685
654	22113	11647
655	22133	11606
656	22154	11566
657	22177	11527
658	22200	11487
659	22226	11449
660	22252	11412
661	22278	11374
662	22300	11334
663	22324	11296
664	22348	11258
665	22372	11219
666	22400	11183
667	22465	11165
668	22504	11134
669	22527	11095
670	22552	11057
671	22577	11019
672	22600	10981
673	22627	10944
674	22737	10947
675	22786	10921
676	22808	10882
677	22830	10842
678	22862	10808
679	22905	10779
680	22938	10745
681	22971	10710
682	22998	10674
683	23023	10636
684	23048	10599
685	23072	10560
686	23152	10548
687	23186	10514
688	23211	10477
689	23234	10438
690	23260	10401
691	23288	10365
692	23321	10331
693	23357	10298
694	23393	10266
695	23415	10227
696	23500	10216
697	23527	10179
698	23548	10140
699	23610	10118
700	23669	10095
701	23691	10057
702	23714	10018
703	23736	9980
704	23757	9941
705	23782	9903
706	23802	9864
707	23874	9846
708	23900	9809
709	23941	9779
710	23962	9740
711	23986	9702
712	24016	9667
713	24051	9634
714	24084	9600
715	24107	9562
716	24133	9525
717	24158	9488
718	24183	9451
719	24204	9412
720	24225	9374
721	24300	9356
722	24333	9322
723	24359	9286
724	24388	9250
725	24407	9211
726	24429	9173
727	24450	9135
728	24474	9098
729	24497	9060
730	24522	9024
731	24549	8988
732	24578	8952
733	24600	8915
734	24625	8878
735	24645	8840
736	24668	8802
737	24699	8768
738	24790	8755
739	24840	8727
740	24869	8692
741	24890	8654
742	24909	8616
743	24931	8578
744	24955	8541
745	24973	8503
746	25006	8469
747	25030	8432
748	25057	8397
749	25083	8361
750	25106	8324
751	25125	8285
752	25148	8249
753	25217	8227
754	25272	8201
755	25301	8165
756	25322	8128
757	25344	8091
758	25371	8055
759	25414	8025
760	25446	7991
761	25477	7957
762	25503	7921
763	25531	7886
764	25554	7850
765	25580	7814
766	25599	7776
767	25621	7739
768	25683	7714
769	25728	7685
770	25752	7649
771	25780	7613
772	25802	7577
773	25822	7539
774	25847	7504
775	25868	7467
776	25890	7430
777	25912	7393
778	25935	7357
779	26018	7338
780	26048	7304
781	26072	7268
782	26119	7238
783	26157	7206
784	26182	7170
785	26207	7135
786	26231	7099
787	26250	7062
788	26273	7026
789	26343	7002
790	26382	6970
791	26406	6934
792	26430	6899
793	26454	6863
794	26477	6827
795	26501	6791
796	26525	6756
797	26549	6720
798	26571	6684
799	26649	6662
800	26694	6631
801	26717	6595
802	26740	6560
803	26760	6523
804	26886	6512
805	26911	6477
806	26938	6442
807	26960	6406
808	26985	6371
809	27008	6335
810	27031	6299
811	27054	6263
812	27117	6237
813	27156	6205
814	27197	6173
815	27229	6140
816	27257	6105
817	27280	6069
818	27328	6039
819	27376	6009
820	27399	5973
821	27435	5940
822	27464	5906
823	27486	5870
824	27509	5835
825	27535	5800
826	27571	5767
827	27615	5736
828	27645	5702
829	27729	5679
830	27758	5645
831	27782	5610
832	27809	5575
833	27835	5540
834	27862	5505
835	27883	5469
836	27906	5434
837	27928	5399
838	27951	5363
839	28034	5339
840	28068	5306
841	28091	5271
842	28113	5235
843	28133	5200
844	28156	5164
845	28183	5130
846	28219	5097
847	28264	5066
848	28285	5030
849	28356	5004
850	28392	4971
851	28413	4935
852	28433	4900
853	28460	4865
854	28481	4830
855	28505	4795
856	28530	4760
857	28555	4725
858	28580	4691
859	28601	4656
860	28660	4626
861	28701	4594
862	28737	4562
863	28762	4527
864	28789	4493
865	28811	4458
866	28829	4422
867	28860	4388
868	28974	4367
869	29009	4334
870	29033	4299
871	29055	4264
872	29076	4229
873	29099	4195
874	29122	4160
875	29146	4125
876	29169	4090
877	29254	4064
878	29277	4030
879	29304	3996
