iter	Logloss
0	0.62624953
1	0.5690285522
2	0.5202160095
3	0.4831505859
4	0.4498082947
5	0.421365918
6	0.3970642853
7	0.3777839325
8	0.3620129578
9	0.3482821198
10	0.3357177765
11	0.3251278564
12	0.3165960419
13	0.3084242645
14	0.3004701782
15	0.2942751282
16	0.2889588348
17	0.2841225372
18	0.2800507141
19	0.2759875488
20	0.2724270538
21	0.2695129181
22	0.2670707306
23	0.2647143036
24	0.2628127716
25	0.2610151245
26	0.2591513092
27	0.2574349854
28	0.2555905945
29	0.2544313049
30	0.25275784
31	0.2514908051
32	0.2503041321
33	0.2492214874
34	0.2479465851
35	0.2471893951
36	0.2461216309
37	0.2453868011
38	0.2446591003
39	0.2439561462
40	0.2430711029
41	0.2424702454
42	0.241629715
43	0.240790155
44	0.2401582458
45	0.2395281616
46	0.2386781647
47	0.2382021698
48	0.2376713745
49	0.2372030457
50	0.2367451233
51	0.236228833
52	0.2356773804
53	0.2353387695
54	0.2350274109
55	0.2344055206
56	0.2338919281
57	0.2333865662
58	0.232999823
59	0.2325754364
60	0.232079303
61	0.2316292389
62	0.231345752
63	0.2308294373
64	0.2303619324
65	0.2299454559
66	0.229422702
67	0.2291622864
68	0.228760556
69	0.228422049
70	0.227969577
71	0.2275409424
72	0.2272735016
73	0.2267666412
74	0.2263574951
75	0.2261041962
76	0.2257497009
77	0.2255118774
78	0.2251272034
79	0.2247517548
80	0.2244905548
81	0.2242071716
82	0.2239647827
83	0.2236553833
84	0.2233493896
85	0.2231178802
86	0.2228593445
87	0.2226415527
88	0.22227995
89	0.2220508301
90	0.2218080994
91	0.2214307526
92	0.2213160736
93	0.221086145
94	0.220825296
95	0.2205494171
96	0.2203208191
97	0.2201283813
98	0.2199769775
99	0.2197818451
100	0.2196715088
101	0.219388504
102	0.2192065918
103	0.2190006836
104	0.218786142
105	0.2185758514
106	0.2184229614
107	0.2181607758
108	0.2179993073
109	0.2177326614
110	0.2174811935
111	0.2172122223
112	0.2170296356
113	0.2167640579
114	0.2165711243
115	0.216320134
116	0.2160490479
117	0.2159202072
118	0.2158142166
119	0.2156659378
120	0.2154730331
121	0.2153124969
122	0.2151022522
123	0.214886618
124	0.2147859741
125	0.2146059723
126	0.2143468811
127	0.2140952866
128	0.2138899216
129	0.2137429199
130	0.2135593262
131	0.2133579102
132	0.2132493378
133	0.2131103378
134	0.2129035004
135	0.2127421463
136	0.2125207123
137	0.2124029785
138	0.2122367584
139	0.212092041
140	0.2119487274
141	0.2118490997
142	0.2116963623
143	0.2115762833
144	0.2113531647
145	0.2112140503
146	0.2110668762
147	0.2109166397
148	0.2107741806
149	0.210662323
150	0.2105222366
151	0.2103996765
152	0.2103097183
153	0.2101878525
154	0.2101110901
155	0.2099968781
156	0.2098222855
157	0.2097628754
158	0.2096268372
159	0.209455603
160	0.2093013489
161	0.2091431061
162	0.2090009338
163	0.2088584183
164	0.2087152847
165	0.2086404678
166	0.208474617
167	0.2082938858
168	0.2081996857
169	0.208062619
170	0.2079850525
171	0.2078928482
172	0.2077760956
173	0.2076194901
174	0.2074890167
175	0.2073403076
176	0.207222168
177	0.2070826767
178	0.2069749344
179	0.2068843613
180	0.2067820007
181	0.206659166
182	0.2065309906
183	0.2064721069
184	0.2063110641
185	0.2061384995
186	0.205956488
187	0.2058870712
188	0.2057967041
189	0.2056659058
190	0.2054968857
191	0.2054336624
192	0.2052636444
193	0.20516875
194	0.2050621078
195	0.2049534454
196	0.2048854324
197	0.2048146027
198	0.2047094391
199	0.204638269
200	0.2045208084
201	0.2044412521
202	0.204349353
203	0.2042697021
204	0.204123262
205	0.2040242111
206	0.2039657394
207	0.2038677139
208	0.203759137
209	0.2036506851
210	0.2035441772
211	0.2034043121
212	0.2032860916
213	0.2031836533
214	0.2031295349
215	0.2030900787
216	0.2030362503
217	0.2029034286
218	0.2027703186
219	0.2026505142
220	0.2025789825
221	0.2025160049
222	0.2024413818
223	0.2023437088
224	0.2021868301
225	0.2021098969
226	0.2020280197
227	0.2019935806
228	0.2018634857
229	0.2017497971
230	0.2016899765
231	0.2016277466
232	0.2014968292
233	0.20139319
234	0.20124823
235	0.2011675217
236	0.2011091156
237	0.200997377
238	0.2008932495
239	0.200836496
240	0.200780513
241	0.2006989578
242	0.2006642395
243	0.2005961075
244	0.2004831955
245	0.2004262192
246	0.2003331955
247	0.2002726761
248	0.2002230194
249	0.2001704773
250	0.2000932465
251	0.2000284485
252	0.1999993118
253	0.1999612152
254	0.1998802048
255	0.1997834
256	0.1997334366
257	0.1996651566
258	0.1996195145
259	0.199533107
260	0.1994631149
261	0.1993964142
262	0.199351825
263	0.1993383484
264	0.1992943375
265	0.199203537
266	0.1991960602
267	0.1991526093
268	0.1991172516
269	0.1990240799
270	0.1989812134
271	0.1989245255
272	0.198890947
273	0.1988530029
274	0.1987154846
275	0.1986639511
276	0.1985522842
277	0.1985037125
278	0.1984513489
279	0.1984214508
280	0.1983788681
281	0.1982837982
282	0.198179071
283	0.1980894089
284	0.1979876694
285	0.1979343567
286	0.1978386642
287	0.1977543518
288	0.1976950378
289	0.1976263229
290	0.1975857437
291	0.1975287338
292	0.1974602036
293	0.1973654297
294	0.1973234818
295	0.1972379333
296	0.1971649933
297	0.1971083603
298	0.1971018661
299	0.1969947784
300	0.1969026886
301	0.1968580429
302	0.1967604324
303	0.1966759674
304	0.1966205765
305	0.1965724579
306	0.1965244675
307	0.1964633728
308	0.1964042847
309	0.1963483643
310	0.1963075836
311	0.1962275894
312	0.1961882523
313	0.1961604385
314	0.1960397354
315	0.1959845764
316	0.1959438721
317	0.1958818756
318	0.1958075104
319	0.1957488724
320	0.1956548721
321	0.1956258072
322	0.1955661942
323	0.1954838776
324	0.1954142929
325	0.1953353088
326	0.1953298691
327	0.1952727417
328	0.1952297607
329	0.1951970779
330	0.1951390289
331	0.1950295929
332	0.1949674973
